Strategy,Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Trades,Latest Signal
Trend Following,46.854402156183966,0.8518180974082736,-19.704963155063353,40.0,10,SELL
Mean Reversion,12.707440045913682,0.35012611385952236,-19.073435385847684,100.0,2,HOLD
Grid Trading,8.999231377190391,0.4548101990196421,-6.961354272798507,60.0,10,HOLD
